Season,Year,Team,Preseason,1-Dec,1-Jan,1-Feb,1-Mar,Round 1,Round of 32,Sweet 16,Elite 8,Final 4,Natl Champ
2021-2022,2022,Kansas,1400,1200,1100,1400,1400,900,800,400,275,180,-200
2020-2021,2021,Baylor,800,,700,450,300,500,500,450,400,375,165
2018-2019,2019,Virginia,1350,2000,950,900,800,675,485,420,365,158,-130
2017-2018,2018,Villanova,2700,1400,700,580,700,570,450,350,198,-105,-305
2016-2017,2017,North Carolina,1900,605,900,1000,650,535,525,465,388,141,-118
2015-2016,2016,Villanova,2500,2500,2200,1500,1225,1500,1550,1115,760,253,110
2014-2015,2015,Duke,900,900,800,900,900,1000,1000,700,600,300,105
2013-2014,2014,Connecticut,6500,5000,3500,10000,7500,9500,10000,2800,2000,800,130
2012-2013,2013,Louisville,700,800,700,1000,1000,450,450,300,230,-111,-200
2011-2012,2012,Kentucky,550,350,400,400,200,185,200,175,160,-135,-270
2010-2011,2011,Connecticut,4000,,1500,1400,3000,2500,2000,1000,600,225,-165
2009-2010,2010,Duke,1200,1200,1100,1000,1000,650,500,450,350,120,-385
2008-2009,2009,North Carolina,450,,,,,400,,250,,120,
2007-2008,2008,Kansas,,,,,,700,,,,200,
2006-2007,2007,Florida,534,,,,,400,,,,200,
2005-2006,2006,Florida,,,,,,2000,,,,150,
2004-2005,2005,North Carolina,600,,,,,350,,,,140,
2003-2004,2004,Connecticut,400,,,,,450,,,,140,
2002-2003,2003,Syracuse,3500,,,,,1800,,2000,,350,
2001-2002,2002,Maryland,500,,,,,350,,,,180,
2000-2001,2001,Duke,,,,,,250,,100,,100,
1999-2000,2000,Michigan State,,,,,,400,,,,-200,
1998-1999,1999,Connecticut,,,,,,400,,,,350,
1997-1998,1998,Kentucky,,,,,,1000,,,,140,
1996-1997,1997,Arizona,3000,,,,,1800,,,,800,
1995-1996,1996,Kentucky,,,,,,140,,-167,,-300,
1994-1995,1995,UCLA,,,,,,500,,500,,140,
1993-1994,1994,Arkansas,,,,,,700,,300,,150,
1992-1993,1993,North Carolina,,,,,,450,,300,,250,
1991-1992,1992,Duke,,,,,,300,,-167,,-200,
1990-1991,1991,Duke,,,,,,1200,,,,600,
1989-1990,1990,UNLV,,,,,,500,,,,140,
1988-1989,1989,Michigan,,,,,,1200,,700,,200,
1987-1988,1988,Kansas,,,,,,2000,,2500,,400,
1986-1987,1987,Indiana,,,,,,500,,400,,250,
1985-1986,1986,Louisville,1500,,,,,600,,,,160,
1984-1985,1985,Villanova,3000,,,,,3500,,,,350,
1983-1984,1984,Georgetown,,,,,,400,,,,160,
1982-1983,1983,NC State,,,,,,2500,,,,,
1981-1982,1982,North Carolina,,,,,,220,,,,,
1980-1981,1981,Indiana,,,,,,1000,,300,,240,
1979-1980,1980,Louisville,,,,,,800,,,,200,
1978-1979,1979,Michigan State,,,,,,550,,350,,,
1977-1978,1978,Kentucky,,,,,,500,,,,,
1975-1976,1976,Indiana,,,,,,200,,,,-125,
1974-1975,1975,UCLA,,,,,,,,,,180,
