"","1","2","3","4","5","6"
"1",21880897,21880899,21880903,21880948,21880967,21880982
"2",21880897,21880899,21880903,21880948,21880967,21880982
"3",21880897,21880899,21880903,21880952,21880967,21880986
"4",21880897,21880899,21880903,21880952,21880967,21880986
"5",21880897,21880899,21880903,21880948,21880972,21880986
"6",21880897,21880899,21880903,21880957,21880967,21880982
"7",21880897,21880899,21880903,21880957,21880967,21880973
"8",21880897,21880899,21880903,21880948,21880967,21880980
"9",21880897,21880899,21880903,21880948,21880967,21880984
"10",21880897,21880899,21880903,21880948,21880971,21880986
"11",21880897,21880899,21880903,21880958,21880967,21880972
"12",21880897,21880899,21880903,21880948,21880971,21880982
"13",21880897,21880899,21880903,21880957,21880973,21880986
"14",21880897,21880899,21880903,21880958,21880967,21880973
"15",21880897,21880899,21880903,21880957,21880971,21880986
"16",21880897,21880899,21880903,21880948,21880973,21880978
"17",21880897,21880899,21880903,21880957,21880966,21880973
"18",21880897,21880899,21880903,21880948,21880973,21880977
"19",21880897,21880899,21880903,21880967,21880971,21880986
"20",21880897,21880899,21880907,21880948,21880957,21880967
