"","team","opp","name","fpts","ceil","floor","proj_own","salary","rg_value","def_pass_epa_rank","off_pass_epa_rank","pass_adv","def_rush_epa_rank","off_rush_epa_rank","rush_adv","delta"
"1","BUF","CHI","Bills",8.79,15.7,3.64,2.42,4000,-0.21,18,12,-6,3,15,12,6
"2","SF","WAS","49ers",8.83,14.64,4.03,3.18,3900,0.03,6,30,24,2,16,14,38
"3","CLE","NO","Browns",8.19,14.96,3.02,3.74,3800,-0.41,5,17,12,30,21,-9,3
"4","MIN","NYG","Vikings",6.25,12.44,1.69,0.86,3700,-2.15,29,14,-15,7,16,9,-6
"5","TEN","HOU","Titans",8.28,13.63,3.8,4.64,3600,0.08,20,32,12,1,30,29,41
"6","DET","CAR","Lions",6.79,12.36,2.7,0.73,3500,-1.21,26,31,5,29,1,-28,-23
"7","CIN","NE","Bengals",7.21,12.74,2.75,2.44,3400,-0.59,4,24,20,14,6,-8,12
"8","BAL","ATL","Ravens",7.9,13.59,3.54,9.4,3200,0.5,7,20,13,4,4,0,13
"9","NYG","MIN","Giants",5.6,11.51,1.24,1.42,3100,-1.6,25,10,-15,26,24,-2,-17
"10","ATL","BAL","Falcons",6.79,13.21,1.69,0.97,3000,-0.21,31,18,-13,32,2,-30,-43
"11","KC","SEA","Chiefs",7.55,13.88,2.51,15.33,2900,0.75,11,15,4,15,24,9,13
"12","NO","CLE","Saints",7.81,14.69,2.37,17.16,2800,1.21,15,20,5,22,7,-15,-10
"13","NE","CIN","Patriots",6.98,13.37,1.96,7.96,2700,0.58,9,5,-4,11,22,11,7
"14","DAL","PHI","Cowboys",6.93,13.56,1.74,11.74,2600,0.73,16,4,-12,5,3,-2,-14
"15","HOU","TEN","Texans",6.43,11.86,2,3.35,2500,0.43,22,13,-9,28,13,-15,-24
"16","WAS","SF","Commanders",5.65,10.71,1.63,2.57,2400,-0.15,12,2,-10,18,8,-10,-20
"17","CAR","DET","Panthers",5.23,10.64,1.28,2.25,2300,-0.37,12,6,-6,12,28,16,10
"18","PHI","DAL","Eagles",5.67,11.11,1.19,6.43,2200,0.27,2,8,6,8,5,-3,3
"19","SEA","KC","Seahawks",4.01,8.87,0.21,1.08,2100,-1.19,26,1,-25,27,12,-15,-40
"20","CHI","BUF","Bears",5.09,10.96,0.59,2.35,2000,0.09,32,3,-29,24,10,-14,-43
